Qty,Value,LCSC Part #
9,100nF,C1525
19,1uF,C52923
1,10uF,C19702
1,47uF,C16780
6,100uF,C15008
4,10nF,C60133
2,1nF,C9196
3,56kohm,C25796
2,2.49kohm,C25884
2,5.1kohm,C25905
8,75ohm,C114757
4,470ohm,C114877
2,R-RJ45S08P-C000,C386764
2,B3U-1100PM,C6467298
2,H1102NLT_C20623173,C20623173
2,CH334F_C5187527,C5187527
1,CH217K,C7462749
3,GT-USB-7010ASV,C2988369
2,RTL8152B-VB-CG,C50656
1,HS-100B,C371351
1,PJ-320A-4P DIP,C18185602
2,AF 90Â° WJDG,C456018
2,X322516MLB4SI,C13738
,,
,LCSC,$47.73
,LCSC Shipping,$20.00
,PCB,$28.00
,Stencil,$3.00
,JLCPCB Shipping,$9.00
,Shipping customs,$22.69
,Total,$130.42
